number_of_rooms,types_of_rooms,number_of_bedrooms,number_of_bathrooms,number_of_bathrooms_full,living_area,appliances,laundry,heating,air_conditioning,heating_fuel,window,stories,number_of_stories,levels,view,roof,patio_porch,exterior,number_of_garage_spaces,number_of_covered_spaces,parking,pool,sewer,days_on_market,property_type,property_subtype,architecture,construction_materials,parcel_number,list_price,price_per_sqft,mls_status,city,community,mls_source_id,community_features,hoa_fee_includes,hoa_name,association_for_this_listing,lot_area,buyer_agency_commission,ownership,living_area_range_units,water_view,lat,lon,desc,utilities,fireplace,flooring,floors,parking_spaces,road_surface_type,year_built,possession_timing,building_area,hoa_fee,special_conditions,listing_terms,buyer_agency_commission_type,lease_term,door,waterfront,number_of_bathrooms_half,spa,accessibility,security,fencing,vegetation,other_structures,road_frontage,condition,attic,foundation,number_of_fireplaces,frontage_length,usage_of_home,common_walls,structure_type,rent_includes,number_of_carport_spaces
4,"Kitchen, Living Room",2,2,2,1000 Square Feet,Dishwasher,Outside,Central,Central Air,Central,None,2,2,Two,Golf Course,Built Up Tar Gravel,"Patio, Screened",NA,NA,NA,"Assigned,One Space,Uncovered","Community, Pool",Public Sewer,2,Residential,Condominium,Two Story,"Block, Concrete",33401800002047000207.0,"$169,900",$170,Active,Vero Beach,Vista Gardens,263397,"Fitness, Other, Pool",Common Areas,Keystone Management,Indian River,NA,2.5,Condo,Square Feet,NA,27.61383438110351,-80.37982940673828,"Welcome to Vista Gardens. A wonderful 55+ community in sunny Vero Beach, FL. This 2 bedroom 2 bathroom condo is centrally located just minutes away from the beach, shopping, dining, and entertainment. The amenities in this community are fantastic and with a reasonable HOA. This condo proves you can retire in style to a coastal city for an affordable price.
",NA,NA,Wood,Wood,NA,NA,1984,NA,NA,NA,NA,New Loan,NA,NA,NA,None,NA,NA,NA,Smoke Detector(s),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,NA,4,3,3,2521 Square Feet,"Dryer, Dishwasher, Electric Water Heater, Disposal, Microwave, Range, Refrigerator, Washer","Laundry Room,Laundry Tub","Central,Electric","Central Air,Electric",Central,Window Treatments,1,1,One,Lake,Other,"Patio, Porch, Screened","Enclosed Porch, Patio",2,2,Garage,"Pool, Private, Salt Water, Community",Public Sewer,2,Residential,Single Family Residence,One Story,"Block, Concrete",31392600047000000040.0,"$1,399,000",$555,Active,Vero Beach,Orchid Cove,263387,"Clubhouse, Other, Pool","Common Areas, Maintenance Grounds, Recreation Facilities, Reserve Fund",Vesta Property Services,Indian River,8000 sqft,2.75,Single Family/Other,Square Feet,Lake,27.76263809204101,-80.41100311279297,"Modern new construction built to highest hurricane standards on lake 3BR/3BA + office/4th BR. Chef's kitchen w/large center island,quartz countertops. Enjoy the sunsets from the pool w/extra outdoor living space & privacy screen. On Interacoastal, 1/2 mile to ocean. Clubhouse,pool,fishing pier,kayak launch,daydock. Owners have video camera/ring door bell. Sizes approx/subj to error.
",NA,NA,Tile,Tile,NA,Paved,2020,NA,NA,NA,NA,"Cash, New Loan",NA,NA,NA,"Lake, Pond",NA,NA,NA,Gated Community,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"Bedroom, Living Room, Kitchen",3,2,2,1023 Square Feet,"Microwave, Range, Refrigerator","Washer Hookup,Dryer Hookup",Central,Central Air,Central,None,1,1,One,Other,Shingle,"Enclosed, Porch",Porch,NA,NA,Driveway,None,Septic Tank,2,Residential,Single Family Residence,One Story,Frame,33393500002150000003.0,"$269,900",$264,Active,Vero Beach,Vero Beach Highlands,263369,None,NA,N/A,Indian River,10018.8 sqft,2.5,Single Family/Other,Square Feet,NA,27.57033729553222,-80.40300750732422,"Adorable, cozy, well-maintained 3 bedroom 2 bath, garage conversion for 3rd bedroom with walk-in closet. New impact windows and flooring. Spacious backyard and a screened porch that allows you to enjoy the Florida weather. All measurements are subject to error.
",NA,NA,Tile,Tile,NA,NA,1981,NA,NA,No HOA Fee,NA,"Cash, FHA, New Loan, VA Loan",NA,NA,NA,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,NA,3,2,2,1886 Square Feet,"Dryer, Dishwasher, Electric Water Heater, Disposal, Microwave, Range, Refrigerator, Washer","In Garage,Laundry Tub","Central,Electric","Central Air,Ceiling Fan(s),Electric",Central,"Single Hung, Window Treatments",1,1,One,Canal,Metal,"Patio, Porch, Screened","Enclosed Porch, Sprinkler/Irrigation, Patio",2,2,"Attached,Garage,Paver Block",None,Public Sewer,2,Residential,Single Family Residence,One Story,"Block, Concrete",32403100003002000013.0,"$1,620,000",$859,Active,Vero Beach,Vero Isles,263273,"None, Other",NA,None,Indian River,0.29 acres,2.25,Single Family/Other,Square Feet,Canal,27.64710235595703,-80.37671661376953,"Deep water canal front home w/ quick access to the intracoastal waterway.Move-in ready featuring custom woodwork, plantation shutters, entertaining space & water views from almost every room. 16,000 lb boat lift can fit 40+ ft boat. U-shape dock to accommodate multiple vessels. Minutes to all things Vero such as Riverside Park, Miracle Mile, beach access, Ocean Dr. shops & restaurants
",NA,NA,"Carpet, Tile","Carpet, Tile",NA,Paved,1983,NA,NA,No HOA Fee,NA,"Cash, New Loan",NA,NA,Sliding Doors,"Canal Access, Navigable Water, Seawall",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,NA,NA,NA,NA,NA
6,NA,3,2,2,1641 Square Feet,"Dishwasher, Electric Water Heater, Disposal, Microwave, Range, Refrigerator","Washer Hookup,Dryer Hookup,Laundry Room",Central,Central Air,Central,None,1,1,One,Other,NA,Patio,Patio,NA,NA,NA,"Pool, Community",Public Sewer,2,Residential,Single Family Residence,One Story,Stucco,33393500010000000215.0,"$354,190",$216,Active,Vero Beach,Cove at Falcon Trace,263398,Pool,NA,Spacecoast Property Mgmt,Indian River,10018.8 sqft,3,Single Family/Other,Square Feet,NA,27.56372451782226,-27.56372451782226,"New construction! Avon model Est completion – May 2023. Kitchen offers white cabinets, SS appliances, large island which overlooks living/dining and leads out to oversized covered lanai. Spacious master, tiled shower, double sinks, and walk-in-closet. Tile throughout main living. Photos for illustrative purposes and do not depict actual home.
",NA,NA,Tile,Tile,NA,NA,2022,NA,NA,NA,NA,"Cash, FHA, New Loan, VA Loan",NA,NA,NA,None,NA,NA,NA,Smoke Detector(s),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"Living Room, Kitchen, Master Bedroom",3,2,2,1578 Square Feet,"Cooktop, Dishwasher, Disposal, Dryer, Microwave, Electric Range, Refrigerator, Washer, Electric Water Heater",Inside,"Central,Electric","Central Air,Electric",Central,"Single Hung Metal, Sliding, Panel Shutters (Complete), Storm Shutters",1,1,1.00,NA,Comp Shingle,NA,NA,1,1,"Driveway,Garage - Attached",NA,NA,2,Residential,Single Family Residence,NA,"Block, CBS, Concrete",33391300007000500007.0,"$375,000",$238,Active,Vero Beach,Malaluka Gardens,RX-10838780,None,NA,NA,Beaches MLS,NA,2.5,NA,NA,NA,27.60379600524902,-80.39733123779297,"Concrete block pool home in the heart of Vero Beach, FL! Fenced in backyard with treed lot directly behind the home for incredible privacy with back porch. Updates include: New A/C, S/S appliances, new fence, updated master bathroom, new laminate floors in bedrooms, new fixtures (lights & fans) NO HOA!
","Cable Connected, Electricity Connected, Water Available",NA,Tile,Tile,1,NA,1974,Close Of Escrow,1578 Square Feet,NA,NA,"Cash, Conventional, FHA, VA Loan",%,NA,NA,None,NA,NA,NA,NA,NA,NA,NA,NA,Resale,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,NA,3,3,2,2260 Square Feet,"Dryer, Dishwasher, Electric Water Heater, Disposal, Microwave, Range, Refrigerator, Washer",Laundry Room,Central,Central Air,Central,"Blinds, Window Treatments",1,1,One,Golf Course,Shingle,"Porch, Screened","Enclosed Porch, Sprinkler/Irrigation, Awning(s)",2,2,Garage,"Pool, Community",Public Sewer,2,Residential,Single Family Residence,One Story,"Block, Concrete",33390700005000000067.0,"$599,900",$265,Active,Vero Beach,POINTE W EAST VILLAGE,263376,Pool,"Maintenance Grounds, Recreation Facilities",Elliott Merrill,Indian River,0.27 acres,2.5,Single Family/Other,Square Feet,NA,27.62800979614257,-80.469818115234375,"Exquisite newer home on the Golf Course!!! .27-acre lot. Adorned w/ luxurious finishes & upgrades! 3 Bdms +Den. Storm shutters, generator, portable AC, surge protector, security system, retractable awnings, washer & dryer included. Lots of storage! Garage has room for a golf cart. HOA includes lawn care. Community pool. Golf memberships available. Close to the beach, shopping & dining.
",NA,NA,"Tile, Vinyl","Tile, Vinyl",NA,NA,2019,NA,NA,NA,NA,"Cash, FHA, New Loan, VA Loan",NA,NA,Sliding Doors,None,1,NA,NA,"Security System Owned, Smoke Detector(s)",NA,NA,NA,NA,NA,Pull Down Stairs,NA,NA,NA,NA,NA,NA,NA,NA
6,"Master Bedroom, Den, Kitchen, Living Room",2,2,2,1545 Square Feet,"Dishwasher, Dryer, Microwave, Electric Range, Washer",NA,Central,Central Air,Central,Accordion Shutters (Partial),1,1,1.00,NA,NA,NA,NA,2,2,Garage,Community,Public Sewer,2,Residential,Single Family Residence,NA,CBS,33380100018000000211.0,"$279,900",$181,Active,Vero Beach,Cambridge Park Second Replat,RX-10799864,"Clubhouse, Shuffleboard, Tennis Court(s), Gated","Common Areas, Insurance-Bldg, Maintenance Grounds, Maintenance Structure",NA,Beaches MLS,NA,2.5,NA,NA,NA,27.6382827758789,-80.49211883544922,"Views galore! Tranquil 2/2 +den/office (possible 3rd bedroom). There is nothing like the peace of mind of having a brand new 2022 installed roof to the 2022 code overhead as you take in your unobstructed, relaxing water view--which only some of the residences in lovely Cambridge Park have! Accordion shutters across the screened porch. 2021 Lennox brand HVAC system! New Publix announced
",Cable Connected,NA,"Carpet, Tile","Carpet, Tile",2,NA,1999,NA,1545 Square Feet,$488/Monthly,NA,"Cash, Conventional",%,NA,NA,"Lake Front, Pond",NA,NA,NA,NA,NA,NA,NA,NA,Resale,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Living Room,3,2,2,1571 Square Feet,"Dishwasher, Electric Water Heater, Range, Refrigerator",Laundry Room,Central,Central Air,Central,Single Hung,1,1,One,NA,Shingle,"Enclosed, Porch","Fence, Sprinkler/Irrigation, Porch",2,2,Garage,None,Septic Tank,2,Residential,Single Family Residence,One Story,"Block, Concrete, Stucco",33391000004000000016.0,"$320,000",$204,Active,Vero Beach,Holly Acres,261878,"None, Other",NA,None,Indian River,0.26 acres,2.75,Single Family/Other,Square Feet,NA,27.62842750549316,-80.42076873779297,"NEW ROOF BEING INSTALLED! This 3/2/2 offers open concept living & a recently remodeled kitchen with granite countertops & gas range. Tile floors throughout common area. Home has an oversized lanai & fenced in backyard with mature trees providing wonderful shade. Great for entertaining! No HOA! Room sizes approx/subject to error.
",NA,NA,"Carpet, Tile","Carpet, Tile",NA,Paved,1973,NA,NA,NA,NA,"Cash, New Loan",NA,NA,Sliding Doors,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"Kitchen, Master Bedroom, Dining Room, Living Room",3,2,2,1617 Square Feet,"Cooktop, Dishwasher, Dryer, Microwave, Electric Range, Refrigerator, Washer, Electric Water Heater",Inside,"Central,Electric","Central Air,Electric",Central,"Panel Shutters (Complete), Storm Shutters",1,1,1.00,NA,Metal Year Roof Installed 2013,"Open Patio, Screen Porch",NA,1,1,"Circular Driveway,Garage - Attached",NA,Public Sewer,2,Residential,Single Family Residence,NA,CBS,32403200009005000002.0,"$950,000",$588,Active,Vero Beach,River Oaks Estates Unit 3,RX-10838691,None,NA,NA,Beaches MLS,10019 sqft,2.5,NA,NA,NA,27.64747238159179,-80.36106872558594,"Central Beach charm! 3/2/1 with updated kitchen and master bath. Features include crown molding, plantation shutters, hurricane-rated garage door & metal roof. Terrazzo in bedrooms & Core Tech Lux Vinyl Acacia wood plank flooring in living, dining & hall. Private fenced backyard with screened porch.
",NA,NA,"Terrazzo, Tile, Vinyl","Terrazzo, Tile, Vinyl",1,NA,1964,"Close Of Escrow, Funding",1617 Square Feet,NA,NA,"Cash, Conventional",%,NA,NA,None,NA,NA,NA,Smoke Detector(s),NA,NA,Shed(s),NA,Resale,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,"Family Room, Den, Great Room, Living Room, Dining Room, Kitchen, Bedroom, Laundry, Foyer",3,3,3,2519 Square Feet,"Cooktop, Dryer, Dishwasher, Disposal, Gas Water Heater, Microwave, Range, Refrigerator, Washer",Laundry Room,"Central,Electric","Central Air,Ceiling Fan(s),Electric",Central,Blinds,1,1,One,"Garden, Preserve",Metal,"Enclosed, Patio, Porch","Sprinkler/Irrigation, Porch, Patio",2,2,Garage,"Electric Heat, Heated, Pool, Community",County Sewer,2,Residential,Single Family Residence,One Story,"Block, Concrete, Stucco",33392400026000000131.0,"$680,000",$270,Active,Vero Beach,Serenoa,263349,"Fitness, Game Room, Library, Other, Sidewalks, Pool","Common Areas, Maintenance Grounds, Security",Elliott Merrill,Indian River,0.26 acres,2.75,Single Family/Other,Square Feet,NA,27.60103034973144,-27.60103034973144,"Meticulously Maintained GHO Built Tacoma Model. Spotless from inside and out and shows like a model. Light and bright with gorgeous granite and upgrades. High Impact Glass including front doors, Metal Roof and Custom "" Racedeck"" Flooring in the garage. Spacious Great room and office as well. Awesome floorplan that can give the new owner many options. Sizes are approx/subj to error.
",NA,NA,Tile,Tile,NA,Paved,2019,NA,NA,NA,NA,"Cash, New Loan",NA,NA,NA,None,NA,NA,NA,"Security System Owned, Gated Community, Smoke Detector(s)",Wall,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
